url,nick
/player/9802/benkai,benkai
/player/24679/cigarettes,cigarettes
/player/9800/mindfreak,mindfreak
/player/7378/jinggg,jinggg
/player/9801/f0rsaken,f0rsaken
/player/9803/d4v41,d4v41
/player/2364/jdfaker,jdfaker
/player/9804/alecks,alecks
/player/9771/sleepy,sleepy
/player/3977/crws,crws
/player/3342/sushiboys,sushiboys
/player/6723/foxz,foxz
/player/2452/patiphan,patiphan
/player/13788/jitboys,jitboys
/player/18035/garnets,garnets
/player/23063/headhawk,headhawk
/player/7456/zeus,zeus
/player/13033/creative,creative
/player/1743/blazek1ng,blazek1ng
/player/2346/cud,cud
/player/2348/famouz,famouz
/player/7804/severine,severine
/player/10739/shiro,shiro
/player/4874/berserx,berserx
/player/21287/5ynz,5ynz
/player/9805/meow,meow
/player/30862/6fingers,6fingers
/player/1430/crazyguy,crazyguy
/player/4382/sscary,sscary
/player/7560/jayh,jayh
/player/9152/deryeon,deryeon
/player/7426/juicy,juicy
/player/28467/s3rius,s3rius
/player/22782/legija,legija
/player/27277/ominous,ominous
/player/28850/m,m
/player/31688/impression,impression
/player/15082/godspeedxd,godspeedxd
/player/12098/kadoom,kadoom
/player/5687/alonefillz,alonefillz
/player/1908/kongared,kongared
/player/2368/b3ta,b3ta
/player/3401/ptc,ptc
/player/25146/leaf,leaf
/player/25147/rennyy,rennyy
/player/1912/wannafly,wannafly
/player/2334/jessievash,jessievash
/player/8504/invy,invy
/player/8137/lenne,lenne
/player/2333/borkum,borkum
/player/2679/dubstep,dubstep
/player/7405/jremy,jremy
/player/35828/yamyam-yui,yamyam-yui
/player/12224/warbirds,warbirds
/player/100/ec1s,ec1s
/player/3627/hellff,hellff
/player/3628/deathmaker,deathmaker
/player/3271/excali,excali
/player/1369/doma,doma
/player/3270/amaterasu,amaterasu
/player/18702/deadly10,deadly10
/player/19722/eupho,eupho
/player/29923/dav,dav
/player/4014/sentinel,sentinel
/player/1437/yesican,yesican
/player/14225/n1zzy,n1zzy
/player/8036/wukong,wukong
/player/8225/f1cio,f1cio
/player/14254/gin,gin
/player/21914/kawa,kawa
/player/824/ayrin,ayrin
/player/805/bazzi,bazzi
/player/9196/t3xture,t3xture
/player/4095/skrossi,skrossi
/player/6654/wronski,wronski
/player/3626/lightningfast,lightningfast
/player/8497/monyet,monyet
/player/4032/vatsal,vatsal
/player/9832/eraser,eraser
/player/4355/spin,spin
/player/14477/bigtime,bigtime
/player/4872/frostmind,frostmind
/player/7048/m0rea,m0rea
/player/2380/zesbeew,zesbeew
/player/7043/ncslasher,ncslasher
/player/9263/sayoo,sayoo
/player/7049/natzlorant,natzlorant
/player/16852/nakya,nakya
/player/1745/adrnking,adrnking
/player/4866/gemma,gemma
/player/10821/delb,delb
/player/9772/whyphy,whyphy
/player/2506/try,try
/player/15817/gghuiii,gghuiii
/player/12365/coconut,coconut
/player/24302/chimei,chimei
/player/24303/hypathor,hypathor
/player/24304/kiuuuu,kiuuuu
/player/36518/vri,vri
/player/7740/draxii,draxii
/player/7749/nexi,nexi
/player/9745/georggyyy,georggyyy
/player/7754/xavi8k,xavi8k
/player/9740/wild0reoo,wild0reoo
/player/10217/markyy,markyy
/player/22801/eraxx,eraxx
/player/25499/rbtx,rbtx
/player/21605/flufee02,flufee02
/player/3477/evo,evo
/player/7445/jarpix,jarpix
/player/7447/firstlove,firstlove
/player/11705/zeno,zeno
/player/2376/bbalto,bbalto
/player/17648/k1ng,k1ng
/player/15437/abdur,abdur
/player/15458/shooterr,shooterr
/player/15440/storax,storax
/player/15442/musab,musab
/player/2381/divine,divine
/player/7375/frey,frey
/player/11704/styron,styron
/player/11737/xan,xan
/player/36166/ryuga,ryuga
/player/27254/leviathan,leviathan
/player/2394/changee,changee
/player/2365/chainyyy,chainyyy
/player/1910/acetics,acetics
/player/2390/pinocchios,pinocchios
/player/2393/z3r1w,z3r1w
/player/4870/frizznatsz,frizznatsz
/player/15678/p1ercee,p1ercee
/player/10775/klipp,klipp
/player/10807/dragy,dragy
/player/10738/heynf,heynf
/player/19796/nerooo,nerooo
